DEPTH,GR,NPHI,RHOB,RT,DT
2600.706,85.14,,,0.94,
2600.8584,98.24,,,0.7,
2601.0108,100.29,,,0.68,
2601.1632,100.66,,,0.66,
2601.3156000000004,95.89,,,0.57,
2601.4680000000003,95.52,,,0.56,
2601.6204000000002,85.7,,,0.56,
2601.7728,72.88,,,0.58,
2601.9252,68.76,,,0.64,
2602.0776,72.88,,,0.52,
2602.23,83.09,,,0.49,
2602.3824,86.29,,,0.48,
2602.5348000000004,87.05,,,0.54,
2602.6872000000003,75.72,,,0.5,
2602.8396000000002,68.59,,,0.41,
2602.992,63.99,,,0.39,
2603.1444,70.16,,,0.48,
2603.2968,75.21,,,0.5,
2603.4492,75.29,,,0.45,
2603.6016,73.33,,,0.46,
2603.7540000000004,83.82,,,0.57,
2603.9064000000003,94.79,,,0.59,
2604.0588000000002,100.71,,,0.59,
2604.2112,98.07,,,0.57,
2604.3636,96.48,,,0.62,
2604.516,100.49,,,0.64,
2604.6684,93.0,,,0.57,
2604.8208,97.29,,,0.48,
2604.9732000000004,99.62,,,0.45,
2605.1256000000003,102.34,,,0.45,
2605.2780000000002,91.68,,,0.61,
2605.4304,72.71,,,0.57,
2605.5828,57.4,,,0.43,
2605.7352,47.38,,,0.33,
2605.8876,43.74,,,0.26,
2606.04,45.67,,,0.27,
2606.1924000000004,42.78,,,0.24,
2606.3448000000003,40.71,,,0.23,
2606.4972000000002,38.85,,,0.25,
2606.6496,39.7,,,0.3,
2606.802,40.9,,,0.31,
2606.9544,41.55,,,0.26,
2607.1068,42.5,,,0.3,
2607.2592,42.89,,,0.37,
2607.4116000000004,44.21,,,0.44,
2607.5640000000003,45.22,,,0.41,
2607.7164000000002,45.42,,,0.37,
2607.8688,45.7,,,0.27,
2608.0212,45.7,,,0.33,
2608.1736,43.34,,,0.36,
2608.326,41.74,,,0.4,
2608.4784,39.13,,,0.36,
2608.6308000000004,41.66,,,0.37,
2608.7832000000003,42.22,,,0.38,
2608.9356000000002,41.18,,,0.3,
2609.088,42.14,,,0.32,
2609.2404,40.09,,,0.35,
2609.3928,38.6,,,0.39,
2609.5452,37.76,,,0.4,
2609.6976,38.04,,,0.36,
2609.8500000000004,41.69,,,0.36,
2610.0024000000003,40.93,,,0.3,
2610.1548000000003,40.37,,,0.32,
2610.3072,39.33,,,0.31,
2610.4596,38.01,,,0.35,
2610.612,39.7,,,0.4,
