DEPTH,GR,NPHI,RHOB,RT,DT,PEF
221.13240000000002,47.091,,,,,
221.28480000000002,49.418,,,,,
221.43720000000002,51.744,,,,,
221.58960000000002,52.18,,,,,
221.74200000000002,51.29,,,,,
221.89440000000002,50.401,,,,,
222.04680000000002,49.161,,,,,
222.19920000000002,47.132,,,,,
222.35160000000002,45.102,,,,,
222.50400000000002,43.15,,,,,
222.65640000000002,44.078,,,,,
222.80880000000002,45.006,,,,,
222.96120000000002,45.934,,,,,
223.11360000000002,44.931,,,,,
223.26600000000002,43.268,,,,,
223.41840000000002,41.606,,,,,
223.57080000000002,40.833,,,,,
223.72320000000002,41.084,,,,,
223.87560000000002,41.335,,,,,
224.02800000000002,41.586,,,,,
224.18040000000002,41.838,,,,,
224.33280000000002,42.089,,,,,
224.48520000000002,42.34,,,,,
224.63760000000002,41.597,,,,,
224.79000000000002,40.746,,,,,
224.94240000000002,39.896,,,,,
225.09480000000002,40.728,,,,,
225.24720000000002,42.584,,,,,
225.39960000000002,44.44,,,,,
225.55200000000002,45.9,,,,,
225.70440000000002,46.596,,,,,
225.85680000000002,47.292,,,,,
226.00920000000002,47.988,,,,,
226.16160000000002,48.684,,,,,
226.31400000000002,49.38,,,,,
226.46640000000002,50.075,,,,,
226.61880000000002,50.771,,,,,
226.77120000000002,51.467,,,,,
226.92360000000002,52.163,,,,,
227.07600000000002,52.859,,,,,
227.22840000000002,53.555,,,,,
227.38080000000002,54.251,,,,,
227.53320000000002,54.946,,,,,
227.68560000000002,55.642,,,,,
227.83800000000002,56.338,,,,,
227.99040000000002,57.034,,,,,
228.14280000000002,57.803,,,,,
228.29520000000002,58.576,,,,,
228.44760000000002,59.349,,,,,
228.60000000000002,59.266,,,,,
228.75240000000002,58.735,,,,,
228.90480000000002,58.203,,,,,
229.05720000000002,57.074,,,,,
229.20960000000002,54.951,,,,,
229.36200000000002,52.828,,,,,
229.51440000000002,50.93,,,,,
229.66680000000002,51.187,,,,,
229.81920000000002,51.445,,,,,
229.97160000000002,51.703,,,,,
230.12400000000002,50.933,,,,,
230.27640000000002,49.928,,,,,
230.42880000000002,48.923,,,,,
230.58120000000002,48.762,,,,,
230.73360000000002,49.342,,,,,
230.88600000000002,49.922,,,,,
231.03840000000002,50.141,,,,,
231.19080000000002,49.291,,,,,
231.34320000000002,48.44,,,,,
231.49560000000002,47.59,,,,,
231.64800000000002,47.565,,,,,
231.80040000000002,47.565,,,,,
231.95280000000002,47.565,,,,,
232.10520000000002,49.406,,,,,
232.25760000000002,52.074,,,,,
232.41000000000003,54.742,,,,,
232.56240000000003,55.731,,,,,
232.71480000000003,54.301,,,,,
232.86720000000003,52.87,,,,,
233.01960000000003,51.35,,,,,
233.17200000000003,49.224,,,,,
233.32440000000003,47.098,,,,,
233.47680000000003,44.972,,,,,
233.62920000000003,42.667,,,,,
233.78160000000003,40.33,,,,,
233.93400000000003,37.994,,,,,
234.08640000000003,42.222,,,,,
234.23880000000003,51.466,,,,,
234.39120000000003,60.711,,,,,
234.54360000000003,66.86,,,,,
234.69600000000003,65.288,,,,,
234.84840000000003,63.716,,,,,
235.00080000000003,62.139,,,,,
235.15320000000003,59.561,,,,,
235.30560000000003,56.983,,,,,
235.45800000000003,54.406,,,,,
235.61040000000003,54.144,,,,,
235.76280000000003,54.762,,,,,
235.91520000000003,55.381,,,,,
236.06760000000003,56.434,,,,,
236.22000000000003,58.032,,,,,
236.37240000000003,59.63,,,,,
236.52480000000003,60.666,,,,,
236.67720000000003,58.81,,,,,
236.82960000000003,56.954,,,,,
236.98200000000003,55.098,,,,,
237.13440000000003,54.038,,,,,
237.28680000000003,53.085,,,,,
237.43920000000003,52.132,,,,,
237.59160000000003,52.495,,,,,
237.74400000000003,53.732,,,,,
237.89640000000003,54.969,,,,,
238.04880000000003,55.818,,,,,
238.20120000000003,55.842,,,,,
238.35360000000003,55.866,,,,,
238.50600000000003,56.004,,,,,
238.65840000000003,58.928,,,,,
238.81080000000003,61.852,,,,,
238.96320000000003,64.775,,,,,
239.1156,64.145,,,,,
239.268,62.382,,,,,
239.4204,60.62,,,,,
239.5728,60.167,,,,,
239.7252,61.147,,,,,
239.8776,62.126,,,,,
240.03,63.095,,,,,
240.1824,64.023,,,,,
240.3348,64.951,,,,,
240.4872,65.879,,,,,
240.6396,60.866,,,,,
240.792,55.309,,,,,
240.9444,49.751,,,,,
241.0968,49.841,,,,,
241.2492,53.176,,,,,
241.4016,56.51,,,,,
241.554,58.597,,,,,
241.7064,58.41,,,,,
241.8588,58.223,,,,,
242.0112,58.028,,,,,
242.1636,57.732,,,,,
242.316,57.436,,,,,
242.4684,57.139,,,,,
242.6208,57.048,,,,,
