DEPTH,GR,NPHI,RHOB,RT,DT
273.4056,45.2705001,,,2.53130006,
273.558,48.0213012,,,2.45869994,
273.7104,48.1785011,,,2.42680001,
273.8628,47.3925018,,,2.42370009,
274.0152,46.4887008,,,2.4525001,
274.1676,49.9860992,,,2.36339998,
274.32,51.1650009,,,2.25069999,
274.4724,50.8899002,,,2.21819996,
274.6248,48.4141998,,,2.07329988,
274.7772,47.2352981,,,2.15490007,
274.9296,49.2001991,,,2.46149992,
275.082,51.9510002,,,2.64369988,
275.2344,54.8196983,,,2.57170009,
275.3868,52.068901,,,2.36829996,
275.5392,46.4494018,,,2.22790002,
275.6916,40.5547981,,,2.26139998,
275.844,36.625,,,2.09739995,
275.9964,39.6509017,,,2.28620004,
276.1488,43.8557014,,,2.19009995,
276.3012,46.331501,,,2.20149993,
276.4536,47.5103988,,,2.09319996,
276.606,49.7109985,,,2.16619992,
276.7584,50.3791007,,,2.13560009,
276.9108,48.0213012,,,2.0223,
277.0632,44.9168014,,,2.12470006,
277.2156,45.5848007,,,2.26029992,
277.368,47.3925018,,,2.09120011,
277.5204,48.6893005,,,2.18819999,
277.6728,52.4617996,,,2.30159997,
277.8252,54.033699,,,2.21469998,
277.9776,52.9726982,,,2.14610004,
278.13,49.0429992,,,2.10619997,
278.2824,49.0429992,,,2.17659997,
278.4348,50.4970016,,,2.31299996,
278.5872,52.3438987,,,2.27439999,
278.7396,51.3222007,,,2.2248001,
278.892,51.0471,,,2.33389997,
279.0444,49.3573989,,,2.26600003,
279.1968,47.353199,,,2.35209989,
279.3492,45.7812995,,,2.18880009,
279.5016,44.7202987,,,2.22539997,
279.654,45.7812995,,,2.26539993,
279.8064,47.0780982,,,2.27509999,
279.9588,48.4928016,,,2.35380005,
280.1112,49.0037002,,,2.23119997,
280.2636,48.2569999,,,2.16689991,
280.416,48.9250984,,,2.10150003,
280.5684,48.2962989,,,2.0769,
280.7208,47.1174011,,,2.18239998,
280.8732,46.4494018,,,2.18659996,
281.0256,46.331501,,,2.22600007,
281.178,47.8641014,,,2.14439988,
281.3304,46.1743011,,,1.92149996,
281.4828,46.0171012,,,1.63310003,
281.6352,46.4099998,,,1.52709996,
281.7876,48.9250984,,,1.4641,
281.94,49.5931015,,,1.49759995,
282.0924,49.4752006,,,1.14859998,
282.2448,47.7462005,,,1.23590004,
282.3972,45.7812995,,,1.67659997,
282.5496,43.8163986,,,1.9634,
282.702,43.0304985,,,2.13339996,
282.8544,43.6591987,,,2.0848,
283.0068,44.327301,,,2.0683999,
283.1592,45.6633987,,,1.97210001,
283.3116,46.8423004,,,1.96449995,
283.464,49.4752006,,,1.98889994,
283.6164,51.6758995,,,1.93519997,
283.7688,52.068901,,,1.97660005,
283.9212,52.5797004,,,1.74810004,
284.0736,53.090599,,,1.65409994,
284.226,55.3305015,,,1.90849995,
284.3784,53.8764991,,,1.97780001,
284.5308,51.7938003,,,1.94389998,
284.6832,50.8899002,,,1.79480004,
284.8356,51.8330993,,,1.70270001,
284.988,51.4401016,,,1.75999999,
285.1404,49.4752006,,,1.79309999,
285.2928,47.353199,,,1.89139997,
285.4452,48.4141998,,,1.90670001,
285.5976,50.4970016,,,1.62629997,
285.75,51.007801,,,1.52380001,
285.9024,46.8030014,,,1.38530004,
286.0548,41.9695014,,,1.53569996,
286.2072,39.1007003,,,1.78680002,
286.3596,39.1007003,,,1.90820002,
286.512,39.7687988,,,1.84860002,
286.6644,41.458599,,,1.745,
286.8168,44.2094001,,,1.69949996,
286.9692,47.1959991,,,1.66330003,
287.1216,48.3749008,,,1.63919997,
287.274,49.2788009,,,1.64769995,
287.4264,48.2569999,,,1.63329994,
287.5788,50.3791007,,,1.68910002,
287.7312,50.8112983,,,1.67509996,
287.8836,54.0730018,,,1.78559994,
288.036,54.976799,,,1.80359995,
288.1884,57.8456001,,,1.81570005,
288.3408,55.3305015,,,1.80369997,
288.4932,52.5797004,,,1.8161,
288.6456,52.4617996,,,1.83490002,
288.798,58.5135993,,,1.80990004,
288.9504,64.6832962,,,1.72150003,
289.1028,67.2769012,,,1.60759997,
289.2552,65.5870971,,,1.51670002,
289.4076,62.718399,,,1.42780005,
289.56,58.7887001,,,1.21679997,
289.7124,55.0946998,,,1.49709999,
289.8648,52.8548011,,,2.10529994,
290.0172,53.6408004,,,2.16420006,
290.1696,57.3347015,,,2.00029993,
290.322,61.1464996,,,1.79700005,
290.4744,62.2075996,,,1.59300005,
290.6268,60.8713989,,,1.7759,
290.7792,60.8713989,,,1.81599998,
290.9316,63.2293014,,,1.80970001,
291.084,65.9801025,,,1.81500005,
291.2364,64.9190979,,,1.81500005,
291.3888,61.8931999,,,1.74030005,
291.5412,59.0245018,,,1.69589996,
291.6936,59.1423988,,,1.53929996,
291.846,59.2994995,,,1.53489995,
291.9984,59.5746002,,,1.68280005,
292.1508,58.6707992,,,1.7414,
292.3032,56.037899,,,1.77579998,
292.4556,53.5228996,,,1.73370003,
292.608,51.5579986,,,1.68490004,
292.7604,54.1908988,,,1.65999996,
292.9128,56.8237991,,,1.58940005,
293.0652,58.0027008,,,1.48510003,
293.2176,54.5839004,,,1.37440001,
293.37,49.5931015,,,1.19529998,
293.5224,44.6024017,,,1.19529998,
293.6748,42.1265983,,,1.15999996,
293.8272,39.6509017,,,0.92900002,
293.9796,35.9962997,,,0.69260001,
294.132,32.4202003,,,0.65899997,
294.2844,28.3332996,,,0.9803,
294.4368,28.0582008,,,1.50929999,
294.5892,28.6084003,,,1.49329996,
294.7416,33.2061996,,,1.3068,
294.894,36.3498992,,,1.3068,
295.0464,38.5505981,,,1.44589996,
295.1988,39.4936981,,,2.03460001,
295.3512,41.7336997,,,1.96150004,
295.5036,43.8557014,,,1.79980003,
295.656,45.1525001,,,1.82480001,
295.8084,46.1743011,,,1.83679997,
295.9608,47.4710998,,,1.98549997,
296.1132,49.7109985,,,2.13730001,
296.2656,52.3438987,,,2.12120008,
296.418,52.7369003,,,1.95379996,
296.5704,52.4617996,,,1.84959995,
296.7228,49.2000999,,,1.95140004,
296.8752,51.4401016,,,1.93330001,
297.0276,52.7369003,,,1.85860002,
297.18,55.7234992,,,1.85860002,
297.3324,54.2695007,,,1.92089998,
297.4848,54.8196983,,,2.10899996,
297.6372,55.2518997,,,2.3420999,
297.7896,56.5880012,,,2.35560011,
297.942,55.5270004,,,2.19129991,
298.0944,53.955101,,,2.06329989,
298.2468,51.8330993,,,1.94790005,
298.3992,48.4141998,,,1.8125,
298.5516,46.0171012,,,1.83889997,
298.704,44.1701011,,,1.70490002,
298.8564,45.7420005,,,1.42589998,
299.0088,44.6024017,,,0.85000002,
299.1612,42.0088005,,,0.55709999,
299.3136,36.9001007,,,0.55709999,
299.466,33.9920997,,,0.61220002,
299.6184,32.5381011,,,0.8118,
299.7708,33.716999,,,1.08239996,
299.9232,35.2888984,,,1.48090004,
300.0756,36.8608016,,,1.92190003,
300.228,37.5289001,,,1.8161,
300.3804,38.1968994,,,1.74839997,
300.5328,39.375801,,,1.72389996,
300.6852,42.5195999,,,1.9081,
300.8376,45.5061988,,,2.11549997,
300.99,48.5321006,,,2.17630004,
301.1424,49.0429992,,,2.17630004,
301.2948,48.2962989,,,2.11980009,
301.4472,46.9995002,,,2.1243999,
301.5996,45.3097,,,2.45860004,
301.752,44.0914993,,,2.5380001,
301.9044,43.6591987,,,2.1143999,
302.0568,44.4452018,,,1.67910003,
302.2092,44.327301,,,1.41110002,
302.3616,43.4235,,,1.72090005,
302.514,38.8256988,,,1.72090005,
302.6664,35.7998008,,,1.65009999,
302.8188,32.773899,,,2.40639996,
302.9712,32.8917999,,,1.97699999,
303.1236,35.0138015,,,1.87339997,
303.276,36.7429008,,,2.21429991,
303.4284,37.5681991,,,1.93449997,
303.5808,36.1142005,,,2.30539989,
303.7332,32.1843986,,,1.01049995,
303.8856,29.1585006,,,1.51629996,
304.038,27.0757999,,,3.16039991,
304.1904,25.8969001,,,2.83619999,
304.3428,24.993,,,1.52240002,
304.4952,22.6352005,,,1.59920001,
304.6476,22.7530994,,,0.63999998,
304.8,21.2991008,,,0.48179998,
304.9524,20.1201992,,,0.48179998,
305.1048,18.9412002,,,0.53839999,
305.2572,19.216299,,,0.38879999,
305.4096,19.8843994,,,0.3817,
305.562,18.7054996,,,0.35730001,
