Depth,Lithology_values,Lithology
2299,,unknown
2300,300.21,sandstone
2301,,unknown
2302,,unknown
2303,,unknown
2304,,unknown
2305,300.21,sandstone
2306,,unknown
2307,,unknown
2308,,unknown
2309,,unknown
2310,300.21,sandstone
2311,,unknown
2312,,unknown
2313,,unknown
2314,,unknown
2315,300.21,sandstone
2316,,unknown
2317,,unknown
2318,,unknown
2319,,unknown
2320,300.21,sandstone
2321,,unknown
2322,,unknown
2323,,unknown
2324,,unknown
2325,300.21,sandstone
2326,,unknown
2327,,unknown
2328,,unknown
2329,,unknown
2330,300.21,sandstone
2331,,unknown
2332,,unknown
2333,300.21,sandstone
2334,,unknown
2335,300.21,sandstone
2336,,unknown
2337,,unknown
2338,,unknown
2339,,unknown
2340,300.21,sandstone
2341,,unknown
2342,,unknown
2343,,unknown
2344,,unknown
2345,,unknown
2346,,unknown
2347,,unknown
2348,,unknown
2349,,unknown
2350,,unknown
2351,,unknown
2352,,unknown
2353,,unknown
2354,,unknown
2355,,unknown
2356,,unknown
2357,,unknown
2358,,unknown
2359,,unknown
2360,300.21,sandstone
2361,,unknown
2362,,unknown
2363,,unknown
2364,,unknown
2365,,unknown
2366,,unknown
2367,,unknown
2368,,unknown
2369,,unknown
2370,,unknown
2371,,unknown
2372,300.21,sandstone
2373,,unknown
2374,,unknown
2375,,unknown
2376,,unknown
2377,,unknown
2378,,unknown
2379,,unknown
2380,300.21,sandstone
2381,,unknown
2382,,unknown
2383,,unknown
2384,,unknown
2385,,unknown
2386,,unknown
2387,,unknown
2388,,unknown
2389,,unknown
2390,,unknown
2391,,unknown
2392,,unknown
2393,,unknown
2394,,unknown
2395,,unknown
2396,,unknown
2397,,unknown
2398,,unknown
2399,,unknown
2400,300.21,sandstone
2401,,unknown
2402,,unknown
2403,300.21,sandstone
2404,,unknown
2405,,unknown
2406,,unknown
2407,,unknown
2408,300.21,sandstone
2409,,unknown
2410,,unknown
2411,,unknown
2412,300.21,sandstone
2413,300.21,sandstone
2414,,unknown
2415,,unknown
2416,,unknown
2417,,unknown
2418,,unknown
2419,,unknown
2420,600,clay-shale
2421,,unknown
2422,,unknown
2423,,unknown
2424,,unknown
2425,,unknown
2426,,unknown
2427,,unknown
2428,,unknown
2429,,unknown
2430,,unknown
2431,,unknown
2432,,unknown
2433,,unknown
2434,,unknown
2435,,unknown
2436,,unknown
2437,,unknown
2438,,unknown
2439,,unknown
2440,600,clay-shale
2441,,unknown
2442,,unknown
2443,,unknown
2444,,unknown
2445,,unknown
2446,,unknown
2447,,unknown
2448,,unknown
2449,,unknown
2450,,unknown
2451,,unknown
2452,,unknown
2453,,unknown
2454,600,clay-shale
2455,,unknown
2456,,unknown
2457,,unknown
2458,,unknown
2459,600,clay-shale
2460,600,clay-shale
2461,,unknown
2462,,unknown
2463,,unknown
2464,600,clay-shale
2465,,unknown
2466,,unknown
2467,,unknown
2468,,unknown
2469,600,clay-shale
2470,,unknown
2471,,unknown
2472,,unknown
2473,,unknown
2474,,unknown
2475,,unknown
2476,,unknown
2477,,unknown
2478,,unknown
2479,,unknown
2480,600,clay-shale
2481,,unknown
2482,,unknown
2483,,unknown
2484,,unknown
2485,,unknown
2486,,unknown
2487,,unknown
2488,,unknown
2489,,unknown
2490,600,clay-shale
2491,,unknown
2492,,unknown
2493,600,clay-shale
2494,,unknown
2495,600,clay-shale
2496,,unknown
2497,,unknown
2498,,unknown
2499,,unknown
2500,600,clay-shale
2501,,unknown
2502,,unknown
2503,,unknown
2504,,unknown
2505,,unknown
2506,,unknown
2507,,unknown
2508,,unknown
2509,,unknown
2510,,unknown
2511,,unknown
2512,,unknown
2513,,unknown
2514,,unknown
2515,,unknown
2516,,unknown
2517,,unknown
2518,,unknown
2519,,unknown
2520,600,clay-shale
2521,,unknown
2522,,unknown
2523,,unknown
2524,,unknown
2525,,unknown
2526,,unknown
2527,,unknown
2528,,unknown
2529,,unknown
2530,,unknown
2531,,unknown
2532,,unknown
2533,,unknown
2534,,unknown
2535,,unknown
2536,,unknown
2537,,unknown
2538,,unknown
2539,,unknown
2540,600,clay-shale
2541,,unknown
2542,,unknown
2543,,unknown
2544,,unknown
2545,,unknown
2546,,unknown
2547,,unknown
2548,,unknown
2549,,unknown
2550,,unknown
2551,,unknown
2552,,unknown
2553,,unknown
2554,,unknown
2555,,unknown
2556,,unknown
2557,,unknown
2558,,unknown
2559,,unknown
2560,600,clay-shale
2561,,unknown
2562,600,clay-shale
2563,,unknown
2564,,unknown
2565,,unknown
2566,,unknown
2567,,unknown
2568,,unknown
2569,,unknown
2570,,unknown
2571,,unknown
2572,,unknown
2573,600,clay-shale
2574,,unknown
2575,,unknown
2576,,unknown
2577,,unknown
2578,600,clay-shale
2579,,unknown
2580,600.39,clay-shale
2581,,unknown
2582,,unknown
2583,600.39,clay-shale
2584,,unknown
2585,,unknown
2586,,unknown
2587,,unknown
2588,,unknown
2589,,unknown
2590,,unknown
2591,,unknown
2592,,unknown
2593,,unknown
2594,,unknown
2595,,unknown
2596,,unknown
2597,,unknown
2598,,unknown
2599,,unknown
2600,600.39,clay-shale
2601,,unknown
2602,,unknown
2603,,unknown
2604,,unknown
2605,,unknown
2606,,unknown
2607,,unknown
2608,,unknown
2609,,unknown
2610,,unknown
2611,,unknown
2612,,unknown
2613,,unknown
2614,,unknown
2615,,unknown
2616,,unknown
2617,,unknown
2618,,unknown
2619,,unknown
2620,600.39,clay-shale
2621,,unknown
2622,,unknown
2623,,unknown
2624,,unknown
2625,,unknown
2626,,unknown
2627,,unknown
2628,,unknown
2629,,unknown
2630,,unknown
2631,,unknown
2632,,unknown
2633,,unknown
2634,,unknown
2635,,unknown
2636,,unknown
2637,,unknown
2638,,unknown
2639,,unknown
2640,600.39,clay-shale
2641,,unknown
2642,,unknown
2643,,unknown
2644,,unknown
2645,,unknown
2646,,unknown
2647,,unknown
2648,,unknown
2649,,unknown
2650,600.39,clay-shale
2651,,unknown
2652,,unknown
2653,,unknown
2654,,unknown
2655,600.39,clay-shale
2656,,unknown
2657,,unknown
2658,,unknown
2659,600.39,clay-shale
2660,600.39,clay-shale
2661,600.39,clay-shale
2662,600.39,clay-shale
2663,600.39,clay-shale
2664,600.39,clay-shale
2665,600.39,clay-shale
2666,600.39,clay-shale
2667,600.39,clay-shale
2668,600.39,clay-shale
2669,600.39,clay-shale
2670,600.39,clay-shale
2671,600.39,clay-shale
2672,600.39,clay-shale
2673,600.39,clay-shale
2674,600.39,clay-shale
2675,600.39,clay-shale
2676,600.39,clay-shale
2677,600.39,clay-shale
2678,600.39,clay-shale
2679,600.39,clay-shale
2680,600.39,clay-shale
2681,600.39,clay-shale
2682,600.39,clay-shale
2683,600.39,clay-shale
2684,600.39,clay-shale
2685,600.39,clay-shale
2686,600.39,clay-shale
2687,600.39,clay-shale
2688,600.39,clay-shale
2689,600.39,clay-shale
2690,600.39,clay-shale
2691,600.39,clay-shale
2692,600.39,clay-shale
2693,600.39,clay-shale
2694,600.39,clay-shale
2695,600.39,clay-shale
2696,600.39,clay-shale
2697,600.39,clay-shale
2698,600.39,clay-shale
2699,600.39,clay-shale
2700,600.39,clay-shale
2701,600.39,clay-shale
2702,600.39,clay-shale
2703,600.39,clay-shale
2704,600.39,clay-shale
2705,600.39,clay-shale
2706,600.39,clay-shale
2707,600.39,clay-shale
2708,600.39,clay-shale
2709,600.39,clay-shale
2710,600.39,clay-shale
2711,600.39,clay-shale
2712,600.39,clay-shale
2713,600.39,clay-shale
2714,600.39,clay-shale
2715,600.39,clay-shale
2716,600.39,clay-shale
2717,600.39,clay-shale
2718,600.39,clay-shale
2719,600.39,clay-shale
2720,600,clay-shale
2721,600,clay-shale
2722,600,clay-shale
2723,600,clay-shale
2724,600,clay-shale
2725,600,clay-shale
2726,600,clay-shale
2727,600,clay-shale
2728,600,clay-shale
2729,600,clay-shale
2730,600,clay-shale
2731,600,clay-shale
2732,600,clay-shale
2733,600,clay-shale
2734,600,clay-shale
2735,600,clay-shale
2736,600,clay-shale
2737,600,clay-shale
2738,600,clay-shale
2739,600,clay-shale
2740,600,clay-shale
2741,600,clay-shale
2742,600,clay-shale
2743,600,clay-shale
2744,600,clay-shale
2745,600,clay-shale
2746,600,clay-shale
2747,600,clay-shale
2748,600,clay-shale
2749,600,clay-shale
2750,600,clay-shale
2751,600,clay-shale
2752,600,clay-shale
2753,600,clay-shale
2754,600,clay-shale
2755,600,clay-shale
2756,600,clay-shale
2757,600,clay-shale
2758,600,clay-shale
2759,600,clay-shale
2760,600,clay-shale
2761,600,clay-shale
2762,600,clay-shale
2763,600,clay-shale
2764,600,clay-shale
2765,600,clay-shale
2766,600,clay-shale
2767,600,clay-shale
2768,600,clay-shale
2769,600,clay-shale
2770,600,clay-shale
2771,600,clay-shale
2772,600,clay-shale
2773,600,clay-shale
2774,600,clay-shale
2775,600,clay-shale
2776,600,clay-shale
2777,600,clay-shale
2778,600,clay-shale
2779,600,clay-shale
2780,600.39,clay-shale
2781,,unknown
2782,,unknown
2783,,unknown
2784,,unknown
2785,,unknown
2786,,unknown
2787,,unknown
2788,,unknown
2789,,unknown
2790,,unknown
2791,,unknown
2792,,unknown
2793,,unknown
2794,,unknown
2795,,unknown
2796,,unknown
2797,,unknown
2798,,unknown
2799,,unknown
2800,600.39,clay-shale
2801,,unknown
2802,,unknown
2803,,unknown
2804,,unknown
2805,,unknown
2806,,unknown
